N1	N2	O1	O2	P1	P2	Q1	Q2	R1	R2	S1	S2	T1	T2	U1	U2	W1	W2	W3	W4	gene.names
1090	972	1194	743	1066	944	1353	718	1201	377	273	794	280	393	386	361	461	451	547	493	CAGL0F03949g
1474	1296	1781	1359	1659	1656	1727	1138	1520	744	528	1141	557	744	706	733	694	796	1187	1087	CAGL0F03971g
1578	1384	1866	1394	1843	1538	1773	1036	1668	724	688	1162	958	1083	993	600	784	824	802	778	CAGL0F03993g
468	460	618	392	515	428	560	281	475	173	139	308	231	226	298	163	130	162	150	111	CAGL0F04015g
143	127	151	102	154	133	244	111	144	75	64	107	75	72	78	86	78	87	171	120	CAGL0F04081g
168	140	156	114	157	149	144	77	114	94	62	113	89	89	83	101	90	107	196	189	CAGL0F04092g
1816	895	2679	2477	2089	2413	1642	1845	1943	1658	837	1845	1785	1082	2048	2255	1372	1616	446	398	CAGL0F04103g
448	380	378	288	425	470	489	303	314	278	144	260	134	201	199	329	212	230	1035	894	CAGL0F04125g
306	384	279	176	310	283	282	127	222	59	113	147	99	142	185	74	77	88	447	518	CAGL0F04191g
18105	16835	25270	16299	14474	14490	17946	10503	16036	6020	11172	12170	7955	13867	4597	2721	8913	10016	9188	9285	CAGL0F04213g
280	270	290	292	294	301	367	273	213	139	123	178	137	159	151	181	135	148	141	134	CAGL0F04235g
6463	4795	7653	6443	6189	7374	6682	5150	6014	4502	3169	4477	4185	4397	4490	3908	4133	4858	3083	2924	CAGL0F04257g
520	493	361	354	333	472	422	315	297	162	153	186	145	256	139	112	148	196	1085	1057	CAGL0F04279g
731	621	786	537	691	598	765	500	682	213	216	440	296	325	303	226	244	270	240	197	CAGL0F04301g
1578	1381	2015	1453	1713	1555	2029	1086	1747	878	726	1319	688	985	830	629	740	730	473	383	CAGL0F04323g
2653	2697	2412	1744	2776	2932	2660	1478	2040	1079	845	1421	717	1152	1101	1161	1188	1211	4134	3874	CAGL0F04345g
1143	1012	1382	1027	1159	1224	1237	777	1087	675	801	1066	666	1063	758	536	702	773	1055	1062	CAGL0F04367g
1108	960	1101	726	992	934	1176	607	1007	501	243	606	258	347	319	418	388	424	523	446	CAGL0F04389g
1514	1212	1873	1575	1723	2296	1742	1430	1221	1324	836	994	731	1157	637	855	1403	1571	2101	2002	CAGL0F04411g
5148	3088	7812	4987	5865	4539	4578	3218	6150	2331	2576	3937	5270	3322	5442	2629	2084	2383	243	190	CAGL0F04433g
1327	951	1539	1105	1256	1239	1578	906	1366	473	248	1031	236	336	425	340	568	632	633	674	CAGL0F04455g
2420	2508	3104	2113	2591	2674	3489	2769	2569	1510	1131	1647	1038	1685	1211	943	1450	1588	2505	2558	CAGL0F04477g
3789	1671	3163	2186	4421	3583	1512	1319	1326	825	739	1711	2712	1328	3027	2295	1337	1555	107	94	CAGL0F04499g
99	50	138	108	62	71	119	147	47	20	59	85	77	78	18	11	62	63	236	222	CAGL0F04521g
1	1	0	2	3	2	0	0	1	0	0	0	0	1	1	2	0	2	1	1	CAGL0F04543g
9478	7517	11215	7533	7449	7097	9534	6357	8356	3643	3967	4935	4257	4438	3324	2305	3742	4069	7208	6968	CAGL0F04565g
571	394	696	484	595	532	567	403	520	351	183	418	278	274	291	325	247	322	190	195	CAGL0F04587g
4249	3883	4032	2769	3483	3658	4542	2838	3156	1584	1748	2059	1410	2367	1228	1067	1440	1349	5238	4776	CAGL0F04609g
126	41	10	8	67	69	39	9	0	0	3	0	3	15	234	161	3	4	1525	1423	CAGL0F04631g
1621	1796	1624	1007	1513	1378	1854	873	1441	745	1077	1273	584	1438	713	601	930	1052	1980	2009	CAGL0F04653g
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAGL0F04675r
1070	1283	1113	856	1323	1235	1320	688	985	457	752	926	423	1028	508	395	560	696	3760	4061	CAGL0F04697g
1157	1240	855	487	1479	1456	1054	524	516	258	440	403	203	496	553	385	276	381	10665	11405	CAGL0F04719g
1307	1474	899	554	971	877	1212	485	672	320	554	674	324	860	594	379	378	399	1200	1136	CAGL0F04741g
741	673	774	575	794	804	737	432	756	408	270	500	390	431	430	394	365	327	411	371	CAGL0F04763g
1539	1370	1510	1406	1962	2301	1478	1094	1128	945	636	998	947	1065	980	1338	851	964	2110	1793	CAGL0F04785g
1707	1859	463	354	914	1017	1220	518	260	124	322	278	105	338	578	388	284	305	8056	7942	CAGL0F04807g
1107	912	1082	1115	982	1432	1168	1013	908	806	431	523	414	629	403	519	466	556	1148	1004	CAGL0F04829g
1888	2762	2516	1856	1382	1456	2268	897	1920	834	1746	1729	248	2090	237	184	1477	1665	2547	3016	CAGL0F04851g
5386	4334	4928	3859	5172	5409	4968	3334	4051	2284	1893	2537	2276	2565	3429	2957	2190	2455	1542	1262	CAGL0F04873g
5665	4477	1907	1331	3808	3897	3310	1914	1036	541	648	773	522	999	1994	1599	682	722	37514	34184	CAGL0F04895g
7	7	4	2	4	5	2	2	9	4	1	6	2	5	1	1	5	7	15	5	CAGL0F04917g
1437	1221	1436	1067	1553	1354	1464	890	1558	731	678	1058	680	765	1086	826	469	554	416	355	CAGL0F04939g
532	366	678	612	583	680	514	459	491	426	244	504	344	317	376	401	417	501	500	518	CAGL0F04961g
2497	1251	3920	2767	2948	2446	1969	1769	2830	1528	726	2517	1504	963	1882	2093	1305	1523	93	99	CAGL0F04983g
1168	892	1381	812	1056	802	1204	693	1088	449	368	778	390	502	536	383	395	428	409	369	CAGL0F05005g
189	171	241	150	164	183	204	121	158	90	131	204	44	143	35	44	143	136	183	222	CAGL0F05027g
393	351	644	475	430	475	528	302	502	352	216	488	103	287	88	154	407	428	253	316	CAGL0F05049g
393	359	232	152	287	270	296	152	113	54	100	150	45	135	127	119	104	122	1482	1505	CAGL0F05071g
86	72	98	66	92	103	76	50	81	24	14	48	22	20	10	5	8	6	9	9	CAGL0F05093g
10302	6754	15719	10368	11842	11762	9864	7716	10820	5447	4167	7203	6437	5293	6528	5724	5112	5715	579	353	CAGL0F05115g
91	59	39	23	267	171	31	17	25	13	11	15	20	28	190	200	11	19	70	166	CAGL0F05137g
1076	867	1160	883	1015	1029	1195	776	1022	553	373	900	419	559	712	602	430	453	708	618	CAGL0F05159g
1183	980	1257	974	1127	1278	1242	704	1206	656	268	971	234	424	364	633	580	639	1015	1002	CAGL0F05181g
290	241	299	203	309	255	265	182	214	105	111	168	125	170	178	97	103	101	119	116	CAGL0F05203g
152	126	173	139	142	161	118	110	127	104	64	128	72	80	111	136	121	108	121	131	CAGL0F05225g
631	550	663	442	741	628	664	424	593	340	224	436	308	358	643	568	288	345	467	440	CAGL0F05247g
2834	2373	3074	2445	2672	2817	2928	1922	2650	1250	1187	1961	1493	1736	1692	1175	1339	1550	1621	1661	CAGL0F05269g
2	0	6	6	2	6	4	7	27	13	4	5	11	8	6	3	9	5	0	2	CAGL0F05291r
2108	1485	2729	2655	2376	3393	1682	1569	1708	1337	962	1518	1542	1455	2046	2169	1333	1594	642	602	CAGL0F05329g
1642	1399	1495	1098	1472	1429	1601	949	1267	815	498	833	486	649	865	1063	611	758	1291	1155	CAGL0F05335g
2575	2340	2957	2526	2409	3110	2648	1943	2411	1909	1327	1720	1182	1610	1111	1332	1424	1658	2175	2016	CAGL0F05357g
2121	1613	2380	1611	2007	1888	1975	1219	1943	828	726	1331	846	875	991	964	834	963	902	828	CAGL0F05379g
864	704	1035	691	875	741	936	493	759	366	407	686	358	547	378	358	359	312	783	722	CAGL0F05401g
781	721	858	620	810	781	870	437	733	307	424	546	363	570	361	227	279	372	1094	1051	CAGL0F05423g
444	379	469	358	455	492	480	312	399	188	172	325	157	223	220	180	199	275	642	663	CAGL0F05445g
359	276	352	314	276	345	301	249	303	232	145	259	169	197	207	204	212	219	224	213	CAGL0F05467g
277	241	231	161	262	238	294	152	225	145	68	140	72	106	98	100	67	67	257	215	CAGL0F05489g
879	664	1172	869	918	888	942	708	963	609	268	772	390	386	492	671	574	636	559	531	CAGL0F05511g
501	385	576	428	629	618	551	385	446	260	177	335	153	227	175	164	270	294	292	307	CAGL0F05533g
317	278	394	253	335	282	314	237	286	195	162	246	178	207	239	179	160	167	166	177	CAGL0F05555g
1898	1150	3054	1900	2742	2666	1633	1256	1778	817	788	1497	1040	1040	898	717	959	1064	476	430	CAGL0F05577g
773	629	948	756	807	871	861	613	729	495	279	436	358	407	390	463	347	413	367	335	CAGL0F05599g
308	231	393	355	342	368	364	318	323	283	131	307	201	193	191	298	180	234	273	286	CAGL0F05621g
2426	1849	3204	2127	2617	2273	2655	1781	2552	1416	1149	1855	1727	1543	1858	1367	1069	1169	880	837	CAGL0F05643g
2334	2054	2619	1683	2323	2010	2660	1512	2292	871	735	1614	787	1060	1069	925	909	975	1493	1371	CAGL0F05665g
1094	844	1146	972	1075	1046	1152	986	744	573	299	702	378	362	738	874	414	477	682	581	CAGL0F05687g
1090	504	1868	1255	1416	1111	901	811	1335	704	282	1243	676	430	857	862	841	922	31	24	CAGL0F05709g
421	317	363	294	372	392	384	265	403	219	182	348	150	211	158	148	233	224	134	126	CAGL0F05731g
1336	1118	1544	1220	1351	1410	1472	1031	1212	952	712	880	601	825	745	811	693	826	519	479	CAGL0F05753g
649	487	666	535	616	608	565	421	529	293	223	433	250	328	335	390	289	281	524	530	CAGL0F05775g
593	431	554	361	435	502	657	365	577	245	72	413	72	113	96	215	313	336	271	241	CAGL0F05797g
425	349	428	339	493	479	422	308	328	243	157	307	164	189	198	274	216	260	350	302	CAGL0F05819g
109	83	86	74	90	104	84	58	44	31	46	76	21	78	49	44	48	43	259	245	CAGL0F05841g
6893	4707	4354	3988	9503	11323	5243	4360	3618	2794	2280	2492	9164	7770	7345	5795	4594	5640	6599	6334	CAGL0F05863g
1484	1389	1978	1438	1756	1718	1488	1018	1468	787	801	1142	859	1079	945	758	630	663	1669	1604	CAGL0F05885g
1693	1401	1866	1466	1559	1601	1766	1148	1753	1232	700	1217	844	1044	918	1100	944	1017	778	681	CAGL0F05907g
355	270	390	325	322	360	275	231	313	204	116	254	141	141	149	201	164	211	275	268	CAGL0F05929g
122	106	139	94	123	124	95	75	91	38	85	57	62	105	87	41	50	58	115	129	CAGL0F05951g
257	279	229	202	278	348	300	175	181	124	71	159	66	126	131	203	117	133	628	617	CAGL0F05973g
894	798	979	721	965	988	848	529	600	401	298	438	314	446	361	379	303	341	722	671	CAGL0F05995g
992	1149	1041	882	1051	1303	1055	688	708	474	680	563	352	1193	356	274	668	781	2334	2233	CAGL0F06017g
2875	2105	2133	1841	2862	3358	2424	1779	1553	1250	894	1469	1023	1177	2564	2955	1158	1316	1339	1254	CAGL0F06039g
1245	1282	841	584	1168	994	1106	581	610	320	426	625	220	622	500	396	407	429	3253	3314	CAGL0F06061g
1	0	2	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	CAGL0F06083r
1507	1207	1711	1238	1531	1572	1361	1006	1438	983	853	1142	719	1124	938	1014	962	1068	965	908	CAGL0F06127g
526	438	544	460	576	622	567	366	452	427	227	389	318	350	341	364	335	356	288	254	CAGL0F06149g
2773	2392	3031	2059	2740	2506	2952	1689	2613	1012	1163	1780	1168	1589	1394	928	958	1008	1738	1491	CAGL0F06171g
3	5	8	6	5	9	2	3	8	4	5	6	5	3	6	1	5	2	0	0	CAGL0F06193r
998	887	1333	883	1083	981	1294	824	1122	638	469	957	493	603	597	536	473	538	569	481	CAGL0F06215g
1880	1444	2287	2012	1893	2300	2136	1529	1791	1814	1020	1595	1167	1358	1392	2008	1508	1712	844	733	CAGL0F06237g
257	214	271	258	232	327	196	202	264	261	138	188	171	208	167	230	225	286	316	293	CAGL0F06259g
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAGL0F06281r
929	764	472	311	738	725	734	464	417	285	189	207	163	267	487	475	245	243	3138	2879	CAGL0F06325g
2010	1962	2051	1591	2068	2100	2113	1377	1758	933	694	1037	653	1028	1044	939	764	827	1428	1291	CAGL0F06347g
1914	1938	1813	1223	1558	1596	2224	1222	2222	1284	844	1451	607	1052	829	814	759	831	1767	1598	CAGL0F06369g
502	411	373	321	391	466	356	258	282	142	169	149	160	313	191	129	204	193	467	465	CAGL0F06391g
12040	6276	17219	19772	6555	17525	5582	8940	3869	2021	4757	4684	2754	8849	1903	1758	3758	3993	10347	7412	CAGL0F06413g
214	99	230	209	173	207	129	155	149	123	103	198	95	100	132	114	98	174	58	68	CAGL0F06435g
771	553	852	562	643	685	724	435	620	352	261	662	308	365	440	363	375	407	420	346	CAGL0F06457g
1245	996	1588	1163	1339	1300	1453	937	1474	828	406	1073	563	533	676	732	634	658	475	420	CAGL0F06479g
920	865	1353	872	1115	915	1266	834	971	506	416	758	727	685	758	568	425	423	129	114	CAGL0F06501g
1549	990	2202	1403	1857	1352	1364	1117	1552	850	570	1179	983	680	1128	985	693	799	112	121	CAGL0F06523g
231	156	186	92	217	176	169	76	135	53	50	83	57	68	89	68	66	74	131	100	CAGL0F06545g
1592	1222	1537	1111	1218	1281	1531	1019	1249	798	343	920	353	445	437	599	753	802	1222	1097	CAGL0F06567g
4	7	14	11	5	11	11	4	5	4	1	8	0	3	2	4	14	7	15	20	CAGL0F06589g
2	2	7	4	6	6	8	6	12	5	0	7	1	1	2	0	0	2	1	2	CAGL0F06600r
1169	788	1112	718	963	857	1008	593	861	478	262	684	245	327	325	376	473	440	607	568	CAGL0F06611g
954	894	1124	769	972	1011	1231	788	862	622	416	668	400	582	488	461	464	547	510	464	CAGL0F06633g
282	302	257	178	261	240	311	160	223	78	93	139	65	151	85	56	66	108	248	222	CAGL0F06655g
3	2	13	11	4	7	1	2	1	0	0	2	0	3	0	0	2	3	41	35	CAGL0F06677g
2005	1642	2973	1918	2502	2513	2263	1415	1999	1108	1187	1546	1310	1549	1154	752	1541	1635	983	956	CAGL0F06693g
13	16	29	25	13	20	6	6	8	19	11	23	5	15	7	12	23	33	18	22	CAGL0F06699g
1449	1274	1736	1340	1487	1593	1708	1077	1405	687	777	958	728	1158	839	573	793	947	1062	1013	CAGL0F06721g
976	871	970	698	990	879	1045	672	765	435	463	633	369	537	470	477	362	452	799	613	CAGL0F06743g
372	299	385	284	380	424	415	300	263	243	238	279	150	230	125	131	220	229	535	530	CAGL0F06765g
483	479	513	385	502	515	587	392	442	276	288	313	200	345	241	262	234	272	679	631	CAGL0F06787g
1406	776	2167	1645	1480	1591	924	1047	1380	1012	665	956	1437	930	1316	1184	1312	1714	44	33	CAGL0F06809g
4468	3927	4985	3302	5210	4834	6025	3572	4350	2358	1670	2655	1849	2248	2803	2593	1927	2175	2264	1435	CAGL0F06831g
2021	1045	2967	2180	2269	1974	1560	1287	2041	1165	837	2157	1551	1098	1937	1626	1216	1383	271	244	CAGL0F06853g
640	725	932	788	1224	1890	979	611	522	451	383	436	226	853	550	715	531	614	1900	1677	CAGL0F06875g
803	609	1119	886	852	1099	816	558	883	646	500	714	536	664	418	426	698	836	446	452	CAGL0F06897g
1100	1138	720	506	865	991	938	585	589	406	423	444	262	563	409	349	399	446	1718	1620	CAGL0F06919g
6109	9059	5642	3266	5786	4704	11266	4654	14645	5874	2777	2836	1472	3034	1804	1185	2130	2107	6677	6327	CAGL0F06941g
398	302	446	343	321	398	330	257	322	240	197	287	224	262	227	248	272	291	226	228	CAGL0F06963g
471	417	484	329	461	404	426	268	327	217	191	308	161	256	165	191	255	211	263	233	CAGL0F06985g
437	462	517	383	451	470	456	278	350	241	247	203	206	345	140	156	307	354	979	830	CAGL0F07007g
3287	2967	5337	4239	3019	3683	2561	2116	2043	660	3380	2991	416	3566	843	665	2045	2206	3432	3642	CAGL0F07029g
766	782	809	576	766	685	839	436	782	356	255	537	218	325	292	419	401	464	981	930	CAGL0F07051g
64494	46149	84432	66627	64939	71608	66006	45395	78700	47434	33638	46217	53133	45275	54438	45845	39303	45847	868	942	CAGL0F07073g
2682	1803	2894	2098	2572	2701	2205	2360	2582	1597	767	1173	1445	1207	1894	1584	1382	1629	797	745	CAGL0F07095g
282	292	128	89	220	214	271	188	39	36	47	84	24	78	79	110	80	82	2041	1831	CAGL0F07117g
4744	2903	6803	5040	5296	4647	3966	3244	5027	2449	2398	3994	4435	3063	4741	3092	2355	2726	440	404	CAGL0F07139g
1266	1118	1673	1132	1415	1468	1190	843	1289	635	613	930	563	764	568	517	620	711	1212	1029	CAGL0F07172g
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAGL0F07205r
332	263	312	258	280	294	295	183	257	141	110	135	132	171	180	165	131	161	151	129	CAGL0F07249g
739	640	803	543	741	718	775	508	694	507	190	559	211	276	316	523	369	344	389	329	CAGL0F07271g
988	903	1082	663	889	703	1155	689	882	354	315	483	348	443	495	264	346	364	461	343	CAGL0F07293g
817	745	769	548	863	730	899	473	651	411	316	495	286	518	373	425	365	362	1136	988	CAGL0F07315g
668	717	893	822	995	1013	863	502	808	519	415	494	419	501	611	642	365	447	1027	1006	CAGL0F07337g
1680	1186	1935	1503	2011	1892	1746	1161	1532	588	818	981	1145	980	1502	728	629	742	764	661	CAGL0F07359g
170	106	204	143	145	225	165	98	122	48	83	86	78	121	88	67	75	94	101	70	CAGL0F07381g
1699	982	2339	1642	1872	1572	1498	1108	1713	969	830	1611	1529	1099	1776	1165	944	1052	139	136	CAGL0F07403g
807	569	952	765	772	818	825	531	804	532	325	742	362	449	437	485	451	451	385	322	CAGL0F07425g
198	198	147	101	117	131	199	127	134	96	92	80	47	138	63	75	99	119	341	312	CAGL0F07447g
2171	1697	3007	1802	2764	2747	2796	2027	2189	1347	903	1414	875	1192	809	748	1244	1188	1221	1132	CAGL0F07469g
2371	1971	2418	1682	2129	2221	2404	1535	1995	1114	1362	1654	1349	1829	1495	950	1318	1515	1663	1691	CAGL0F07491g
513	424	198	134	393	363	311	195	114	59	64	60	34	83	190	157	78	95	1379	1414	CAGL0F07513g
1382	1408	1254	1083	1063	1305	1388	860	951	585	544	442	261	717	275	296	679	808	930	856	CAGL0F07535g
368	204	487	367	446	412	290	260	336	302	154	299	222	185	322	375	251	308	87	95	CAGL0F07557g
500	432	189	211	141	225	467	397	70	29	35	38	45	49	31	34	162	192	1868	1647	CAGL0F07579g
6387	4049	6413	4784	6954	6379	3540	2661	2983	1532	1805	1413	2482	2634	4697	3037	2630	3147	5913	5412	CAGL0F07601g
492	391	504	346	552	442	467	269	453	259	196	285	218	253	339	311	247	268	245	201	CAGL0F07623g
1071	598	1517	1183	1205	1128	986	876	1058	930	333	1018	782	460	1062	1257	829	865	158	153	CAGL0F07645g
1184	1028	1263	911	1139	1222	1286	752	1089	562	449	820	433	594	609	536	581	586	1098	1064	CAGL0F07667g
947	961	1128	792	979	837	1102	579	953	471	514	723	408	633	385	366	553	613	1038	993	CAGL0F07689g
939	732	1113	675	816	750	976	543	812	341	391	512	394	501	392	247	418	448	412	337	CAGL0F07711g
630	542	768	461	678	558	611	365	639	322	245	449	199	349	218	274	293	344	300	245	CAGL0F07733g
478	425	813	577	484	513	599	272	718	345	295	645	108	334	85	84	305	310	75	76	CAGL0F07755g
1709	1336	245	180	7272	4350	390	140	146	53	117	158	38	213	7813	5353	120	145	15355	16765	CAGL0F07777g
1298	1402	1077	777	1745	1628	1431	845	843	412	405	596	330	607	1794	1248	394	440	1636	1499	CAGL0F07799g
722	727	836	473	768	631	939	520	725	291	220	455	166	284	236	250	279	274	666	497	CAGL0F07821g
507	377	654	512	508	585	590	417	533	243	139	352	176	204	209	241	253	244	191	177	CAGL0F07843g
208	199	287	201	343	269	219	123	191	83	99	208	70	138	124	130	168	152	231	183	CAGL0F07865g
3553	2978	4899	3185	3756	3453	4003	2739	4081	2152	1738	2639	2252	2333	2417	2061	1701	1951	779	665	CAGL0F07887g
934	773	1059	780	1283	1193	924	576	873	445	225	586	269	326	962	1170	409	455	489	410	CAGL0F07909g
1486	1252	1615	1056	1227	1211	1520	1025	1053	636	631	965	611	842	672	535	749	856	1614	1515	CAGL0F07931g
26	15	34	27	31	66	19	19	26	18	14	23	12	15	19	14	14	20	56	65	CAGL0F07953g
329	532	222	186	226	249	484	229	199	91	132	151	21	190	43	45	101	86	794	783	CAGL0F07975g
2340	1744	2444	1480	1545	1385	1565	1002	1109	519	633	976	576	678	289	229	725	768	856	738	CAGL0F07997g
619	458	731	611	500	597	540	389	408	486	243	341	268	334	296	485	506	537	271	239	CAGL0F08019g
8115	6719	8975	6171	8990	8303	6800	4721	7973	2804	3345	3827	5286	4712	5291	2825	2547	2554	4031	3248	CAGL0F08041g
1599	1471	1858	1625	1449	1954	1693	1171	1623	1186	835	980	650	1258	619	662	1172	1331	2453	2527	CAGL0F08063g
352	221	138	167	195	211	241	265	95	82	60	58	63	85	187	182	112	126	548	549	CAGL0F08085g
7758	7180	6052	3797	5006	4527	7501	4274	3980	2030	2651	2999	1377	3244	1669	1291	2791	2917	9280	9325	CAGL0F08107g
3288	1532	4757	3795	3682	3709	2242	2341	2839	1883	1294	2263	3032	1722	3488	3196	2174	2485	185	171	CAGL0F08129g
1200	952	1380	989	1305	1189	1385	835	1262	627	638	1066	720	790	906	544	588	686	491	410	CAGL0F08151g
121	120	95	68	101	88	125	64	81	36	34	45	27	47	40	24	38	50	129	117	CAGL0F08173g
13	18	147	124	27	37	42	13	11	13	3	6	8	4	6	8	13	10	26	27	CAGL0F08195g
3	2	6	4	1	4	7	1	3	2	1	3	1	3	0	1	3	2	2	3	CAGL0F08217g
1272	1326	1276	956	1323	1365	1345	775	962	630	641	696	433	850	580	564	599	669	2711	2584	CAGL0F08239g
114	65	44	43	83	85	53	29	11	4	18	14	15	46	68	33	15	17	3364	2503	CAGL0F08261g
1361	1054	1517	1212	1432	1587	1507	1078	1304	725	658	1038	729	882	884	724	645	732	930	907	CAGL0F08283g
750	544	681	456	739	733	644	421	466	253	248	367	341	398	405	239	377	374	427	447	CAGL0F08305g
374	315	356	241	426	385	325	209	287	142	118	210	150	171	214	171	132	120	699	671	CAGL0F08327g
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAGL0F08349r
1769	1248	2974	2362	1843	1746	1093	835	1805	715	564	1012	1116	905	1428	1133	795	814	460	392	CAGL0F08371g
1221	1184	1312	849	1215	1097	1307	701	1208	629	477	910	423	631	484	556	602	676	1097	961	CAGL0F08393g
689	626	942	686	800	705	774	508	750	394	373	608	453	551	498	359	433	511	230	244	CAGL0F08415g
650	544	733	481	678	672	630	314	633	367	215	525	242	331	361	351	394	396	228	207	CAGL0F08437g
6065	4483	8524	5562	7282	6630	5736	3993	7066	2847	3106	4482	4177	3862	4182	2635	3162	3458	452	372	CAGL0F08459g
1127	1271	1237	721	1447	1197	1227	613	1249	572	542	828	410	710	442	362	566	596	871	778	CAGL0F08481g
2005	1951	3234	2271	3283	3015	1928	1087	2639	976	1619	2101	739	2183	1804	1016	1281	1368	441	476	CAGL0F08503g
2160	1623	2839	2454	2107	2614	1967	1692	2463	1842	1321	2051	1675	1631	1710	1750	1845	2037	454	450	CAGL0F08525g
31619	21910	44068	32939	33765	35131	30026	20356	38586	15027	19444	23718	27327	25862	27587	13321	15936	19438	2081	2266	CAGL0F08547g
31	27	39	23	41	30	29	19	26	12	9	29	21	14	23	7	5	14	1	5	CAGL0F08558r
1123	984	1602	1198	1206	1176	1170	770	1271	772	778	971	614	928	601	450	781	882	728	702	CAGL0F08569g
76	69	97	51	77	55	84	46	62	23	29	66	30	43	40	29	24	48	66	62	CAGL0F08591g
855	660	975	750	899	831	941	585	886	513	383	632	398	434	532	474	351	390	278	271	CAGL0F08613g
749	603	858	648	824	822	835	505	705	501	248	464	257	339	353	485	336	381	385	347	CAGL0F08635g
978	930	1081	802	1033	994	1346	731	896	531	408	778	344	511	488	508	502	561	997	883	CAGL0F08657g
1711	1569	1914	1576	1800	1750	2337	1605	1697	829	968	1584	959	1348	1021	728	852	904	1702	1550	CAGL0F08679g
87	99	114	58	83	79	70	69	88	66	43	34	37	49	45	27	55	45	75	69	CAGL0F08701g
623	502	465	396	511	571	549	355	432	235	221	205	267	403	419	261	240	300	651	635	CAGL0F08723g
194	266	52	81	193	344	221	132	28	11	9	9	29	41	233	168	64	64	2135	2400	CAGL0F08745g
3	1	0	1	1	1	3	5	2	1	0	2	1	2	0	2	1	1	15	10	CAGL0F08767g
1153	1144	1291	810	1222	1160	1273	740	1117	518	539	913	492	731	642	452	578	657	499	484	CAGL0F08789g
916	794	786	562	908	654	735	458	631	450	237	489	337	340	535	597	330	372	510	553	CAGL0F08811g
13410	11585	9412	7616	10691	9479	10740	6002	8717	4759	3249	5164	3205	4485	5344	5342	3684	3922	3017	2656	CAGL0F08833g
562	497	574	405	533	533	615	421	447	316	178	333	170	261	305	320	313	286	407	362	CAGL0F08855g
289	261	304	266	313	272	289	185	258	167	44	235	59	89	105	176	174	230	178	155	CAGL0F08877g
0	0	2	2	1	0	1	0	1	0	0	1	1	1	1	0	0	2	0	0	CAGL0F08899r
1571	1563	1533	1074	1385	1504	1627	916	1091	820	568	1254	256	720	442	583	911	982	1947	2081	CAGL0F08943g
3454	2832	4173	2426	4630	3516	2836	1447	3125	1101	1920	2639	1771	2513	3234	1770	1375	1531	1548	1329	CAGL0F08965g
1615	1237	1612	1422	1598	2027	1602	1303	1281	783	880	1315	722	1161	836	699	1025	1119	2088	2229	CAGL0F08987g
642	393	797	560	593	551	548	419	563	304	281	425	363	335	437	343	362	365	96	93	CAGL0F09009g
55645	40499	76122	49074	59560	52806	58066	34764	68358	23666	34364	39049	54211	49082	53995	22459	25628	29592	1124	1215	CAGL0F09031g
1176	1056	1225	751	1077	954	1115	701	1221	512	472	980	423	547	411	329	492	482	358	337	CAGL0F09053g
4495	3129	4905	3227	4819	4080	3630	2428	3149	1497	1817	3507	1966	2505	2407	2181	1814	1929	2395	2247	CAGL0F09075g
1222	908	1292	1202	1068	1312	1249	866	1135	745	492	955	463	631	638	736	651	748	530	433	CAGL0F09097g
814	692	943	612	760	696	958	597	960	400	358	726	395	467	407	299	351	393	234	206	CAGL0F09119g
0	2	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	7	1	CAGL0F09141g
1220	1148	1274	958	1695	1880	1333	945	820	594	588	652	407	832	521	528	738	764	3045	3093	CAGL0F09163g
595	597	871	589	692	710	673	318	559	303	460	621	416	784	353	272	350	416	751	765	CAGL0F09185g
5566	4106	9364	7913	7158	7757	5658	4437	6741	6121	3974	5615	5388	5317	5247	7109	4867	5312	1924	1533	CAGL0F09207g
1251	855	1416	911	1401	1224	948	650	1194	602	360	860	480	489	698	821	607	590	774	730	CAGL0F09229g
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAGL0F09273g
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	CAGL0G00105g
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	CAGL0G00110g
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CAGL0G00121g
10419	7321	15339	11309	11548	11442	10533	7690	12231	9027	5574	8359	8804	7050	8766	9224	6594	7732	891	820	CAGL0G00154g
2689	2726	2985	2115	2915	2691	2908	1531	2519	1447	1253	1753	1082	1682	1526	1273	1385	1538	2330	2133	CAGL0G00176g
9490	7773	8739	6871	8803	8757	7533	5135	5669	2543	2748	3102	3774	4087	6291	3904	3125	3686	4900	4609	CAGL0G00220g
1714	1512	2118	1532	2185	1797	1592	1122	1716	720	467	998	509	748	783	782	767	847	1040	1039	CAGL0G00242g
1851	907	2760	2401	2136	2157	1644	1534	1860	1002	1146	2239	2565	1600	2588	1343	1103	1278	77	60	CAGL0G00264g
